Product,Price,Date
Samsung Galaxy Z Fold6 12GB/1TB,52990000,2024-09-29
Samsung Galaxy Z Fold6 12GB/512GB,45990000,2024-09-29
Samsung Galaxy Z Fold6 12GB/256GB,41990000,2024-09-29
Samsung Galaxy Z Flip6 12GB/512GB,30990000,2024-09-29
Samsung Galaxy Z Flip6 12GB/256GB,26990000,2024-09-29
iPhone 16 - Chính hãng VN/A,22490000,2024-09-29
iPhone 16 (256GB) - Chính hãng VN/A,25490000,2024-09-29
iPhone 16 (512GB) - Chính hãng VN/A,31490000,2024-09-29
iPhone 16 Plus (512GB) - Chính hãng VN/A,34490000,2024-09-29
iPhone 16 Plus - Chính hãng VN/A,25490000,2024-09-29
iPhone 16 Plus (256GB) - Chính hãng VN/A,28490000,2024-09-29
iPhone 16 Pro Max (1TB) - Chính hãng VN/A,46990000,2024-09-29
iPhone 16 Pro Max (512GB) - Chính hãng VN/A,40990000,2024-09-29
iPhone 16 Pro Max - Chính hãng VN/A,34990000,2024-09-29
iPhone 16 Pro (512GB) - Chính hãng VN/A,37990000,2024-09-29
iPhone 16 Pro - Chính hãng VN/A,28990000,2024-09-29
iPhone 16 Pro (1TB) - Chính hãng VN/A,43990000,2024-09-29
iPhone 16 Pro (256GB) - Chính hãng VN/A,31990000,2024-09-29
Samsung Galaxy S24 Plus 12GB 512GB,25490000,2024-09-29
Samsung Galaxy S24 Plus 12GB 256GB,20190000,2024-09-29
Samsung Galaxy S23 FE 5G 8GB 128GB,10790000,2024-09-29
TECNO SPARK Go 2024 4GB 64GB,1950000,2024-09-29
TECNO SPARK 20PRO+,4890000,2024-09-29
OPPO Reno10 Pro+ 5G 12GB 256GB,14190000,2024-09-29
Samsung Galaxy S23 FE 8GB 256GB,12290000,2024-09-29
OPPO Find X5 Pro 12GB 256GB - Giá mới chỉ có tại CellphoneS,15990000,2024-09-29
Điện thoại Tecno Camon 30 8GB/256GB,5690000,2024-09-29
TECNO SPARK 20 8GB 128GB,3050000,2024-09-29
Điện thoại Tecno Camon 30 12GB/256GB,6190000,2024-09-29
Samsung Galaxy M55 (12GB 256GB),10490000,2024-09-29
Samsung Galaxy S24 Ultra 12GB 256GB,27990000,2024-09-29
Samsung Galaxy S23 Ultra 12GB 512GB,24490000,2024-09-29
TECNO POVA 5 8GB 128GB,3790000,2024-09-29
Tecno Pova 6 (8GB/256GB),5690000,2024-09-29
Samsung Galaxy S23 8GB 128GB - Chỉ có tại CellphoneS,13590000,2024-09-29
iPhone 16 128GB | Chính hãng VN/A,22490000,2024-09-29
iPhone 16 Pro Max 256GB | Chính hãng VN/A,34990000,2024-09-29
Samsung Galaxy S24 Ultra 12GB 256GB,25990000,2024-09-29
iPhone 16 Pro 128GB | Chính hãng VN/A,28990000,2024-09-29
iPhone 15 Pro Max 256GB | Chính hãng VN/A,29290000,2024-09-29
Samsung Galaxy Z Fold6,38490000,2024-09-29
iPhone 13 128GB | Chính hãng VN/A,14090000,2024-09-29
iPhone 15 128GB | Chính hãng VN/A,19590000,2024-09-29
iPhone 14 Pro Max 128GB | Chính hãng VN/A,25590000,2024-09-29
Samsung Galaxy A15 LTE 8GB 128GB,4490000,2024-09-29
iPhone 15 Plus 128GB | Chính hãng VN/A,22590000,2024-09-29
iPhone 15 Pro 128GB | Chính hãng VN/A,25190000,2024-09-29
Samsung Galaxy S23 Ultra 12GB 512GB,24490000,2024-09-29
Xiaomi POCO X6 Pro 5G 8GB 256GB - Chỉ có tại CellphoneS,8490000,2024-09-29
Samsung Galaxy Z Flip6,24990000,2024-09-29
Xiaomi 14T,13990000,2024-09-29
iPhone 12 Pro Max 128GB I Chính hãng VN/A,23490000,2024-09-29
Xiaomi Redmi Note 13 (6GB 128GB),4390000,2024-09-29
Samsung Galaxy S23 8GB 128GB - Chỉ có tại CellphoneS,13590000,2024-09-29
iPhone 13 Pro Max 128GB | Chính hãng VN/A,22990000,2024-09-29
Samsung Galaxy Z Fold6 12GB/256GB,41990000,2024-10-01
Samsung Galaxy Z Fold6 12GB/512GB,45990000,2024-10-01
Samsung Galaxy Z Fold6 12GB/1TB,52990000,2024-10-01
Samsung Galaxy Z Flip6 12GB/256GB,26990000,2024-10-01
Samsung Galaxy Z Flip6 12GB/512GB,30990000,2024-10-01
iPhone 16 - Chính hãng VN/A,22490000,2024-10-01
iPhone 16 (512GB) - Chính hãng VN/A,31490000,2024-10-01
iPhone 16 (256GB) - Chính hãng VN/A,25490000,2024-10-01
iPhone 16 Plus - Chính hãng VN/A,25490000,2024-10-01
iPhone 16 Plus (256GB) - Chính hãng VN/A,28490000,2024-10-01
iPhone 16 Plus (512GB) - Chính hãng VN/A,34490000,2024-10-01
iPhone 16 Pro Max (1TB) - Chính hãng VN/A,46990000,2024-10-01
iPhone 16 Pro Max (512GB) - Chính hãng VN/A,40990000,2024-10-01
iPhone 16 Pro Max - Chính hãng VN/A,34990000,2024-10-01
iPhone 16 Pro (1TB) - Chính hãng VN/A,43990000,2024-10-01
iPhone 16 Pro (512GB) - Chính hãng VN/A,37990000,2024-10-01
iPhone 16 Pro (256GB) - Chính hãng VN/A,31990000,2024-10-01
iPhone 16 Pro - Chính hãng VN/A,28990000,2024-10-01
TECNO SPARK 20PRO+,4890000,2024-10-01
TECNO SPARK Go 2024 4GB 64GB,1950000,2024-10-01
Samsung Galaxy S24 Plus 12GB 512GB,25490000,2024-10-01
Samsung Galaxy S23 FE 5G 8GB 128GB,10790000,2024-10-01
Samsung Galaxy S24 Plus 12GB 256GB,20190000,2024-10-01
OPPO Find X5 Pro 12GB 256GB - Giá mới chỉ có tại CellphoneS,15990000,2024-10-01
OPPO Reno10 Pro+ 5G 12GB 256GB,14190000,2024-10-01
Samsung Galaxy S23 Ultra 12GB 512GB,24490000,2024-10-01
Tecno Pova 6 (8GB/256GB),5690000,2024-10-01
Điện thoại Tecno Camon 30 8GB/256GB,5690000,2024-10-01
TECNO SPARK 20 8GB 128GB,3050000,2024-10-01
TECNO POVA 5 8GB 128GB,3790000,2024-10-01
Điện thoại Tecno Camon 30 12GB/256GB,6190000,2024-10-01
Samsung Galaxy M55 (12GB 256GB),10490000,2024-10-01
Samsung Galaxy S23 FE 8GB 256GB,12290000,2024-10-01
Samsung Galaxy S24 Ultra 12GB 256GB,27990000,2024-10-01
Samsung Galaxy S23 8GB 128GB - Chỉ có tại CellphoneS,13590000,2024-10-01
iPhone 16 128GB | Chính hãng VN/A,22490000,2024-10-01
iPhone 16 Pro Max 256GB | Chính hãng VN/A,34990000,2024-10-01
Samsung Galaxy S24 Ultra 12GB 256GB,25990000,2024-10-01
iPhone 16 Pro 128GB | Chính hãng VN/A,28990000,2024-10-01
iPhone 15 Pro Max 256GB | Chính hãng VN/A,29290000,2024-10-01
Samsung Galaxy Z Fold6,38490000,2024-10-01
iPhone 13 128GB | Chính hãng VN/A,14090000,2024-10-01
Xiaomi 14T,13990000,2024-10-01
iPhone 15 128GB | Chính hãng VN/A,19590000,2024-10-01
iPhone 14 Pro Max 128GB | Chính hãng VN/A,25590000,2024-10-01
Samsung Galaxy A15 LTE 8GB 128GB,4490000,2024-10-01
Samsung Galaxy S24 FE 5G 8GB 128GB,16990000,2024-10-01
Samsung Galaxy Z Flip6,24990000,2024-10-01
iPhone 15 Pro 128GB | Chính hãng VN/A,25190000,2024-10-01
iPhone 15 Plus 128GB | Chính hãng VN/A,22590000,2024-10-01
Samsung Galaxy S23 Ultra 12GB 512GB,24490000,2024-10-01
Xiaomi POCO X6 Pro 5G 8GB 256GB - Chỉ có tại CellphoneS,8490000,2024-10-01
iPhone 12 Pro Max 128GB I Chính hãng VN/A,23490000,2024-10-01
Xiaomi Redmi 14C,3190000,2024-10-01
Samsung Galaxy S23 8GB 128GB - Chỉ có tại CellphoneS,13590000,2024-10-01
Samsung Galaxy Z Fold6 12GB/512GB,45990000,2024-10-03
Samsung Galaxy Z Fold6 12GB/1TB,52990000,2024-10-03
Samsung Galaxy Z Fold6 12GB/256GB,41990000,2024-10-03
Samsung Galaxy Z Flip6 12GB/512GB,30990000,2024-10-03
Samsung Galaxy Z Flip6 12GB/256GB,26990000,2024-10-03
iPhone 16 Pro Max - Chính hãng VN/A,34990000,2024-10-03
iPhone 16 - Chính hãng VN/A,22490000,2024-10-03
iPhone 16 Pro - Chính hãng VN/A,28990000,2024-10-03
iPhone 16 Plus - Chính hãng VN/A,25990000,2024-10-03
iPhone 16 Pro Max (512GB) - Chính hãng VN/A,40990000,2024-10-03
iPhone 16 (256GB) - Chính hãng VN/A,25490000,2024-10-03
iPhone 16 Pro (256GB) - Chính hãng VN/A,31990000,2024-10-03
iPhone 16 Plus (256GB) - Chính hãng VN/A,28990000,2024-10-03
iPhone 16 Pro (512GB) - Chính hãng VN/A,37990000,2024-10-03
iPhone 16 Plus (512GB) - Chính hãng VN/A,34990000,2024-10-03
iPhone 16 Pro Max (1TB) - Chính hãng VN/A,46990000,2024-10-03
iPhone 16 Pro (1TB) - Chính hãng VN/A,43990000,2024-10-03
iPhone 16 (512GB) - Chính hãng VN/A,31490000,2024-10-03
Samsung Galaxy S24 Plus 12GB 512GB,25490000,2024-10-03
Samsung Galaxy S24 Plus 12GB 256GB,20490000,2024-10-03
TECNO SPARK 20PRO+,4890000,2024-10-03
Viettel T2 4G,480000,2024-10-03
TECNO SPARK Go 1 4GB 64GB,2220000,2024-10-03
TECNO SPARK Go 2024 4GB 64GB,1950000,2024-10-03
Samsung Galaxy S23 Ultra 12GB 512GB,25490000,2024-10-03
realme C61 (4GB 128GB),3250000,2024-10-03
realme C61 (6GB 128GB),3700000,2024-10-03
TECNO SPARK 20 8GB 128GB,3050000,2024-10-03
TECNO POVA 5 8GB 128GB,3790000,2024-10-03
Masstel izi T2 4G,430000,2024-10-03
OPPO Reno10 Pro+ 5G 12GB 256GB,14190000,2024-10-03
Samsung Galaxy S24 Ultra 12GB 256GB,27990000,2024-10-03
OPPO Find X5 Pro 12GB 256GB - Giá mới chỉ có tại CellphoneS,15990000,2024-10-03
Samsung Galaxy M55 (12GB 256GB),10490000,2024-10-03
Masstel izi 16 4G,380000,2024-10-03
Tecno Pova 6 (8GB/256GB),5690000,2024-10-03
iPhone 16 128GB | Chính hãng VN/A,22490000,2024-10-03
Samsung Galaxy S24 Ultra 12GB 256GB,29900000,2024-10-03
Xiaomi 14T,13990000,2024-10-03
iPhone 16 Pro 128GB | Chính hãng VN/A,28990000,2024-10-03
Samsung Galaxy Z Fold6,41990000,2024-10-03
iPhone 15 Pro Max 256GB | Chính hãng VN/A,29490000,2024-10-03
Samsung Galaxy S24 FE 5G 8GB 128GB,16990000,2024-10-03
iPhone 13 128GB | Chính hãng VN/A,14190000,2024-10-03
Xiaomi 14T Pro,17990000,2024-10-03
iPhone 15 128GB | Chính hãng VN/A,19690000,2024-10-03
Samsung Galaxy A15 LTE 8GB 128GB,4490000,2024-10-03
iPhone 14 Pro Max 128GB | Chính hãng VN/A,25590000,2024-10-03
Samsung Galaxy Z Flip6,26990000,2024-10-03
iPhone 15 Pro 128GB | Chính hãng VN/A,25290000,2024-10-03
Xiaomi Redmi 14C,3190000,2024-10-03
iPhone 15 Plus 128GB | Chính hãng VN/A,22590000,2024-10-03
iPhone 12 Pro Max 128GB I Chính hãng VN/A,23490000,2024-10-03
Samsung Galaxy S23 Ultra 12GB 512GB,27990000,2024-10-03
Xiaomi POCO X6 Pro 5G 8GB 256GB - Chỉ có tại CellphoneS,8490000,2024-10-03
Xiaomi Redmi Note 13 (6GB 128GB),4390000,2024-10-03
