city,state,house_size,bed,bath,price
Santa Monica,California,661.0,,1.0,550000.0
Santa Monica,California,1043.0,1.0,1.0,999990.0
Santa Monica,California,785.0,2.0,1.0,719000.0
Santa Monica,California,3701.0,5.0,5.0,8995000.0
Santa Monica,California,3115.0,4.0,4.0,2545000.0
Santa Monica,California,9680.0,22.0,13.0,8000000.0
Santa Monica,California,5262.0,10.0,7.0,3295000.0
Santa Monica,California,1924.0,2.0,3.0,3350000.0
Santa Monica,California,906.0,1.0,1.0,1075000.0
Santa Monica,California,4526.0,15.0,10.0,3199000.0
Santa Monica,California,3604.0,4.0,4.0,4295000.0
Santa Monica,California,1262.0,2.0,2.0,995000.0
Santa Monica,California,10065.0,17.0,17.0,6519999.0
Santa Monica,California,1700.0,,2.0,1949000.0
Santa Monica,California,2020.0,2.0,3.0,1399999.0
Santa Monica,California,1647.0,3.0,4.0,1240000.0
Santa Monica,California,939.0,1.0,1.0,1000000.0
Santa Monica,California,906.0,1.0,1.0,1300000.0
Santa Monica,California,503.0,1.0,1.0,565000.0
Santa Monica,California,2076.0,2.0,4.0,1499000.0
Santa Monica,California,726.0,1.0,1.0,775000.0
Santa Monica,California,1009.0,2.0,2.0,1144000.0
Santa Monica,California,1476.0,2.0,3.0,1529000.0
Santa Monica,California,1408.0,3.0,3.0,1349000.0
Santa Monica,California,5375.0,14.0,8.0,2595000.0
Santa Monica,California,3067.0,3.0,3.0,4999000.0
Santa Monica,California,3005.0,3.0,4.0,3149000.0
Santa Monica,California,20513.0,40.0,31.0,10250000.0
Santa Monica,California,2801.0,8.0,4.0,1689000.0
Santa Monica,California,5236.0,6.0,5.0,8000000.0
Santa Monica,California,379.0,,1.0,450000.0
Santa Monica,California,4694.0,6.0,6.0,3300000.0
Santa Monica,California,1367.0,2.0,3.0,989000.0
Santa Monica,California,1039.0,2.0,2.0,969000.0
Santa Monica,California,3083.0,5.0,4.0,1550000.0
Santa Monica,California,2094.0,3.0,3.0,2495000.0
Santa Monica,California,1046.0,2.0,2.0,1195000.0
Santa Monica,California,3140.0,2.0,3.0,6995000.0
Santa Monica,California,1458.0,2.0,3.0,1080000.0
Santa Monica,California,2817.0,3.0,3.0,5995000.0
Santa Monica,California,2716.0,4.0,3.0,4300000.0
Santa Monica,California,1554.0,3.0,3.0,2500000.0
Santa Monica,California,1380.0,3.0,2.0,1479000.0
Santa Monica,California,1495.0,2.0,2.0,1595000.0
Santa Monica,California,3186.0,6.0,5.0,2775000.0
Santa Monica,California,1216.0,2.0,2.0,2400000.0
Santa Monica,California,804.0,2.0,2.0,799500.0
Santa Monica,California,600.0,1.0,1.0,725000.0
Santa Monica,California,3636.0,21.0,12.0,5688000.0
Santa Monica,California,6149.0,6.0,5.0,12999000.0
Santa Monica,California,1301.0,2.0,3.0,1500000.0
Santa Monica,California,3380.0,4.0,4.0,3997500.0
Santa Monica,California,658.0,1.0,1.0,625000.0
Santa Monica,California,2657.0,4.0,4.0,3595000.0
Santa Monica,California,1456.0,3.0,3.0,1099000.0
Santa Monica,California,3555.0,5.0,5.0,3899000.0
Santa Monica,California,662.0,1.0,1.0,699000.0
Santa Monica,California,1821.0,3.0,4.0,1995000.0
Santa Monica,California,1994.0,2.0,3.0,1995000.0
Santa Monica,California,1256.0,2.0,3.0,999000.0
Santa Monica,California,1939.0,2.0,3.0,1395000.0
Santa Monica,California,1153.0,1.0,2.0,1595000.0
Santa Monica,California,1609.0,2.0,3.0,2895000.0
Santa Monica,California,722.0,1.0,1.0,499000.0
Santa Monica,California,1228.0,2.0,2.0,2500000.0
Santa Monica,California,1486.0,2.0,2.0,1495000.0
Santa Monica,California,12379.0,7.0,12.0,19995000.0
Santa Monica,California,1670.0,3.0,2.0,2445000.0
Santa Monica,California,1865.0,2.0,3.0,3399000.0
Santa Monica,California,1554.0,3.0,3.0,2200000.0
Santa Monica,California,5655.0,6.0,7.0,18000000.0
Santa Monica,California,2766.0,4.0,4.0,2198000.0
Santa Monica,California,1374.0,3.0,3.0,2150000.0
Santa Monica,California,6521.0,6.0,8.0,9995000.0
Santa Monica,California,1028.0,2.0,2.0,849000.0
Santa Monica,California,8914.0,14.0,13.0,3650000.0
Santa Monica,California,3302.0,4.0,3.0,3295000.0
Santa Monica,California,3360.0,6.0,6.0,2595000.0
Santa Monica,California,7587.0,7.0,9.0,12995000.0
Santa Monica,California,845.0,2.0,1.0,649000.0
Santa Monica,California,,3.0,3.0,4995000.0
Santa Monica,California,4631.0,8.0,4.0,2250000.0
Santa Monica,California,1744.0,2.0,3.0,3495000.0
Santa Monica,California,650.0,1.0,1.0,549000.0
Santa Monica,California,1729.0,3.0,3.0,1595000.0
Santa Monica,California,1212.0,1.0,2.0,1200000.0
Santa Monica,California,4376.0,9.0,8.0,2500000.0
Santa Monica,California,1535.0,2.0,2.0,1295000.0
Santa Monica,California,769.0,3.0,1.0,2059000.0
Santa Monica,California,7400.0,5.0,8.0,13488888.0
Santa Monica,California,1215.0,3.0,1.0,2450000.0
Santa Monica,California,2282.0,4.0,5.0,3495000.0
Santa Monica,California,3239.0,2.0,3.0,5995000.0
Santa Monica,California,1431.0,3.0,3.0,1385000.0
Santa Monica,California,569.0,1.0,1.0,499000.0
Santa Monica,California,507.0,1.0,1.0,689000.0
Santa Monica,California,1086.0,2.0,2.0,1100000.0
Santa Monica,California,850.0,1.0,1.0,1250000.0
Santa Monica,California,3252.0,6.0,5.0,2300000.0
Santa Monica,California,3074.0,3.0,4.0,7750000.0
Santa Monica,California,3074.0,3.0,4.0,9250000.0
Santa Monica,California,906.0,1.0,1.0,1300000.0
Santa Monica,California,,1.0,2.0,1598000.0
Santa Monica,California,,,1.0,4015000.0
Santa Monica,California,2544.0,5.0,4.0,2350000.0
Santa Monica,California,1221.0,2.0,2.0,998000.0
Santa Monica,California,1552.0,2.0,3.0,2495000.0
Santa Monica,California,4710.0,,13.0,5850000.0
Santa Monica,California,2261.0,3.0,3.0,2749000.0
Santa Monica,California,620.0,1.0,1.0,799000.0
Santa Monica,California,1462.0,3.0,2.0,1199999.0
Santa Monica,California,1513.0,2.0,2.0,2250000.0
Santa Monica,California,2918.0,6.0,4.0,2995000.0
Santa Monica,California,1527.0,3.0,3.0,1650000.0
Santa Monica,California,2227.0,4.0,5.0,3495000.0
Santa Monica,California,2300.0,2.0,2.0,2345000.0
Santa Monica,California,2600.0,3.0,4.0,2590000.0
Santa Monica,California,1494.0,3.0,3.0,1649000.0
Santa Monica,California,9318.0,14.0,14.0,5495000.0
Santa Monica,California,1703.0,2.0,3.0,1475000.0
Santa Monica,California,1141.0,3.0,2.0,1100000.0
Santa Monica,California,649.0,1.0,1.0,499999.0
Santa Monica,California,1001.0,2.0,1.0,2400000.0
Santa Monica,California,1265.0,2.0,3.0,1025000.0
Santa Monica,California,4133.0,4.0,5.0,7250000.0
Santa Monica,California,10384.0,17.0,17.0,6300000.0
Santa Monica,California,8621.0,20.0,16.0,6100000.0
Santa Monica,California,4327.0,3.0,5.0,7250000.0
Santa Monica,California,510.0,,1.0,695000.0
Santa Monica,California,1664.0,3.0,3.0,1695000.0
Santa Monica,California,1182.0,2.0,2.0,999999.0
Santa Monica,California,,8.0,6.0,22000000.0
Santa Monica,California,1014.0,2.0,2.0,1274000.0
Santa Monica,California,1930.0,3.0,4.0,2225000.0
Santa Monica,California,2540.0,3.0,3.0,3195000.0
Santa Monica,California,1074.0,2.0,1.0,2349000.0
Santa Monica,California,2450.0,4.0,3.0,1950000.0
Santa Monica,California,1160.0,1.0,2.0,995000.0
Santa Monica,California,2423.0,5.0,5.0,4700000.0
Santa Monica,California,1276.0,2.0,2.0,2605000.0
Santa Monica,California,1009.0,2.0,2.0,879000.0
Santa Monica,California,2056.0,4.0,3.0,1795000.0
Santa Monica,California,921.0,2.0,2.0,999000.0
Santa Monica,California,1153.0,1.0,2.0,1199000.0
Santa Monica,California,1086.0,3.0,2.0,1050000.0
Santa Monica,California,906.0,1.0,1.0,1295000.0
Santa Monica,California,1871.0,2.0,3.0,2249000.0
Santa Monica,California,1146.0,1.0,2.0,1495000.0
Santa Monica,California,961.0,2.0,2.0,1125000.0
Santa Monica,California,1554.0,1.0,2.0,5450000.0
Santa Monica,California,1669.0,3.0,4.0,3190000.0
Santa Monica,California,5444.0,10.0,9.0,3375000.0
Santa Monica,California,4599.0,9.0,8.0,11995000.0
Santa Monica,California,1413.0,2.0,3.0,1249000.0
Santa Monica,California,3835.0,6.0,5.0,6495000.0
Santa Monica,California,497.0,1.0,1.0,650000.0
Santa Monica,California,2296.0,4.0,3.0,4950000.0
Santa Monica,California,3027.0,5.0,4.0,2209000.0
Santa Monica,California,576.0,1.0,1.0,795000.0
Santa Monica,California,2123.0,4.0,2.0,3490000.0
Santa Monica,California,4726.0,5.0,4.0,14250000.0
Santa Monica,California,3201.0,3.0,3.0,8995000.0
Santa Monica,California,906.0,1.0,1.0,1499000.0
Santa Monica,California,4706.0,4.0,5.0,9500000.0
Santa Monica,California,8084.0,16.0,16.0,6950000.0
Santa Monica,California,1023.0,2.0,2.0,985000.0
Santa Monica,California,2510.0,3.0,3.0,2710000.0
Santa Monica,California,988.0,2.0,2.0,899000.0
Santa Monica,California,1012.0,2.0,2.0,1200000.0
Santa Monica,California,1558.0,3.0,3.0,1399000.0
Santa Monica,California,644.0,1.0,1.0,598000.0
Santa Monica,California,,4.0,4.0,4895000.0
Santa Monica,California,864.0,1.0,1.0,699800.0
Santa Monica,California,1736.0,2.0,3.0,1995000.0
Santa Monica,California,2490.0,4.0,3.0,3150000.0
Santa Monica,California,,,,3500000.0
Santa Monica,California,3920.0,,10.0,4290000.0
Santa Monica,California,9434.0,,,6750000.0
Santa Monica,California,1235.0,2.0,2.0,1155500.0
Santa Monica,California,3164.0,8.0,5.0,2899888.0
Santa Monica,California,576.0,1.0,1.0,619770.0
Santa Monica,California,1232.0,2.0,2.0,2095000.0
Santa Monica,California,1872.0,3.0,2.0,2295000.0
Santa Monica,California,3920.0,7.0,7.0,2695000.0
Santa Monica,California,5120.0,11.0,11.0,2925000.0
Santa Monica,California,1566.0,3.0,3.0,3800000.0
Santa Monica,California,784.0,2.0,1.0,645000.0
Santa Monica,California,15600.0,19.0,25.0,9850000.0
Santa Monica,California,1412.0,3.0,3.0,1375000.0
Santa Monica,California,2517.0,4.0,3.0,3195000.0
Santa Monica,California,3147.0,6.0,5.0,2295000.0
Santa Monica,California,2934.0,6.0,5.0,2295000.0
Santa Monica,California,1036.0,2.0,2.0,1995000.0
Santa Monica,California,1689.0,2.0,3.0,1799000.0
Santa Monica,California,4903.0,8.0,10.0,3200000.0
Santa Monica,California,2800.0,3.0,4.0,9600000.0
Santa Monica,California,3250.0,9.0,7.0,2000000.0
Santa Monica,California,1562.0,3.0,3.0,4200000.0
Santa Monica,California,1149.0,2.0,2.0,1850000.0
Santa Monica,California,3873.0,5.0,5.0,3550000.0
Santa Monica,California,4478.0,7.0,6.0,3490000.0
Santa Monica,California,3131.0,4.0,4.0,4495000.0
Santa Monica,California,2550.0,3.0,3.0,2450000.0
Santa Monica,California,904.0,2.0,2.0,1100000.0
Santa Monica,California,3517.0,5.0,7.0,3999999.0
Santa Monica,California,1538.0,2.0,2.0,1779000.0
Santa Monica,California,1460.0,4.0,3.0,1995000.0
Santa Monica,California,1250.0,1.0,1.0,1099000.0
Santa Monica,California,8990.0,16.0,12.0,3795000.0
Santa Monica,California,674.0,1.0,1.0,985000.0
Santa Monica,California,2549.0,4.0,5.0,5300000.0
Santa Monica,California,854.0,2.0,1.0,647000.0
Santa Monica,California,1296.0,3.0,2.0,2495000.0
Santa Monica,California,823.0,1.0,1.0,899000.0
Santa Monica,California,1290.0,2.0,3.0,1350000.0
Santa Monica,California,1626.0,4.0,2.0,1500000.0
Santa Monica,California,1223.0,2.0,2.0,1125000.0
Santa Monica,California,971.0,2.0,2.0,1279000.0
Santa Monica,California,992.0,,3.0,1750000.0
Santa Monica,California,1641.0,2.0,3.0,1775000.0
Santa Monica,California,1122.0,2.0,2.0,799000.0
Santa Monica,California,1566.0,3.0,3.0,2895000.0
Santa Monica,California,1896.0,4.0,3.0,2700000.0
Santa Monica,California,1638.0,4.0,2.0,2095000.0
Santa Monica,California,1190.0,2.0,2.0,1995000.0
Santa Monica,California,595.0,1.0,1.0,678000.0
Santa Monica,California,,,,2800000.0
Santa Monica,California,832.0,2.0,2.0,775000.0
Santa Monica,California,1677.0,2.0,3.0,1725000.0
Santa Monica,California,1671.0,4.0,4.0,2275000.0
Santa Monica,California,1642.0,3.0,2.0,2789000.0
Santa Monica,California,4780.0,9.0,11.0,7250000.0
Santa Monica,California,3400.0,4.0,4.0,6150000.0
Santa Monica,California,1867.0,2.0,3.0,1399988.0
Santa Monica,California,4159.0,5.0,6.0,6450000.0
Santa Monica,California,4212.0,12.0,6.0,2700000.0
Santa Monica,California,766.0,1.0,1.0,649000.0
Santa Monica,California,823.0,1.0,1.0,998000.0
Santa Monica,California,540.0,1.0,1.0,749000.0
Santa Monica,California,1136.0,2.0,2.0,1100000.0
Santa Monica,California,1504.0,2.0,3.0,1400000.0
Santa Monica,California,2512.0,4.0,4.0,2399000.0
Santa Monica,California,1131.0,2.0,2.0,999000.0
Santa Monica,California,641.0,1.0,1.0,599000.0
Santa Monica,California,624.0,2.0,1.0,1100000.0
Santa Monica,California,658.0,1.0,1.0,625000.0
Santa Monica,California,3271.0,6.0,5.0,2850000.0
Santa Monica,California,1647.0,3.0,4.0,1300000.0
Santa Monica,California,643.0,1.0,1.0,688000.0
Santa Monica,California,1582.0,2.0,3.0,1295000.0
Santa Monica,California,1366.0,2.0,3.0,1149000.0
Santa Monica,California,2222.0,3.0,3.0,2799000.0
Santa Monica,California,1883.0,3.0,2.0,2300000.0
Santa Monica,California,2620.0,4.0,4.0,6295000.0
Santa Monica,California,,,,1895000.0
Santa Monica,California,1813.0,3.0,2.0,3195000.0
Santa Monica,California,3488.0,4.0,4.0,3650000.0
Santa Monica,California,6010.0,7.0,7.0,6995000.0
Santa Monica,California,1192.0,,,1247900.0
Santa Monica,California,802.0,2.0,1.0,785000.0
Santa Monica,California,1510.0,3.0,3.0,1399000.0
Santa Monica,California,2010.0,5.0,5.0,2699000.0
Santa Monica,California,1258.0,2.0,2.0,1399000.0
Santa Monica,California,5198.0,6.0,7.0,9999000.0
Santa Monica,California,15554.0,21.0,23.0,7250000.0
Santa Monica,California,1870.0,3.0,4.0,1625000.0
Santa Monica,California,3250.0,8.0,4.0,1999000.0
Santa Monica,California,722.0,1.0,1.0,799000.0
Santa Monica,California,1741.0,3.0,3.0,2295000.0
Santa Monica,California,1505.0,2.0,3.0,1195000.0
Santa Monica,California,1470.0,2.0,3.0,1450000.0
Santa Monica,California,1491.0,2.0,3.0,1500000.0
Santa Monica,California,1103.0,2.0,2.0,985000.0
Santa Monica,California,3005.0,3.0,4.0,3149000.0
Santa Monica,California,3243.0,4.0,5.0,3880000.0
Santa Monica,California,1022.0,2.0,2.0,885000.0
Santa Monica,California,1581.0,3.0,2.0,1600000.0
Santa Monica,California,2300.0,3.0,3.0,3895000.0
Santa Monica,California,1191.0,2.0,2.0,1195000.0
Santa Monica,California,750.0,2.0,1.0,699000.0
Santa Monica,California,1517.0,2.0,3.0,1649000.0
Santa Monica,California,1581.0,2.0,3.0,1425000.0
Santa Monica,California,3213.0,5.0,5.0,5995000.0
Santa Monica,California,1806.0,2.0,3.0,1499000.0
Santa Monica,California,602.0,1.0,1.0,899000.0
Santa Monica,California,2001.0,3.0,3.0,2250000.0
Santa Monica,California,4367.0,6.0,6.0,4350000.0
Santa Monica,California,1562.0,3.0,3.0,2450000.0
Santa Monica,California,1857.0,2.0,3.0,1799000.0
Santa Monica,California,576.0,1.0,1.0,499000.0
Santa Monica,California,576.0,1.0,1.0,795000.0
Santa Monica,California,4548.0,5.0,6.0,5995000.0
Santa Monica,California,,,,2845000.0
Santa Monica,California,3232.0,3.0,4.0,10500000.0
Santa Monica,California,1394.0,2.0,3.0,2150000.0
Santa Monica,California,2904.0,,,3499000.0
Santa Monica,California,3430.0,6.0,6.0,3000000.0
Santa Monica,California,2001.0,4.0,3.0,2149000.0
Santa Monica,California,1574.0,2.0,2.0,2250000.0
Santa Monica,California,865.0,2.0,3.0,889000.0
Santa Monica,California,1034.0,2.0,2.0,1250000.0
Santa Monica,California,5409.0,5.0,5.0,6498000.0
Santa Monica,California,954.0,2.0,1.0,1798000.0
Santa Monica,California,2075.0,2.0,3.0,1848000.0
Santa Monica,California,1840.0,3.0,3.0,2195000.0
